Plot Title: 20687633,,,,,,
#,"Date Time, GMT-07:00","DO conc, mg/L (LGR S/N: 20687633, SEN S/N: 20687633)","Temp, °C (LGR S/N: 20687633, SEN S/N: 20687633)",Coupler Attached (LGR S/N: 20687633),Stopped (LGR S/N: 20687633),End Of File (LGR S/N: 20687633)
1,9/26/2019 13:00,10.61,12.74,,,
2,9/26/2019 14:00,10.47,13.22,,,
3,9/26/2019 15:00,10.35,13.62,,,
4,9/26/2019 16:00,10.22,13.7,,,
5,9/26/2019 17:00,10.16,13.52,,,
6,9/26/2019 18:00,10.14,13.32,,,
7,9/26/2019 19:00,10.14,13.06,,,
8,9/26/2019 20:00,10.12,12.84,,,
9,9/26/2019 21:00,10.2,12.54,,,
10,9/26/2019 22:00,10.28,12.2,,,
11,9/26/2019 23:00,10.33,12,,,
12,9/27/2019 0:00,10.36,11.86,,,
13,9/27/2019 1:00,10.41,11.68,,,
14,9/27/2019 2:00,10.44,11.52,,,
15,9/27/2019 3:00,10.49,11.36,,,
16,9/27/2019 4:00,10.54,11.16,,,
17,9/27/2019 5:00,10.59,10.96,,,
18,9/27/2019 6:00,10.64,10.76,,,
19,9/27/2019 7:00,10.67,10.6,,,
20,9/27/2019 8:00,10.77,10.46,,,
21,9/27/2019 9:00,10.88,10.4,,,
22,9/27/2019 10:00,10.93,10.56,,,
23,9/27/2019 11:00,10.91,10.96,,,
24,9/27/2019 12:00,10.84,11.44,,,
25,9/27/2019 13:00,10.65,12.16,,,
26,9/27/2019 14:00,10.5,12.78,,,
27,9/27/2019 15:00,10.38,13.16,,,
28,9/27/2019 16:00,10.35,13.02,,,
29,9/27/2019 17:00,10.38,12.48,,,
30,9/27/2019 18:00,10.43,12.14,,,
31,9/27/2019 19:00,10.4,11.82,,,
32,9/27/2019 20:00,10.42,11.44,,,
33,9/27/2019 21:00,10.48,11.16,,,
34,9/27/2019 22:00,10.54,10.94,,,
35,9/27/2019 23:00,10.6,10.78,,,
36,9/28/2019 0:00,10.63,10.66,,,
37,9/28/2019 1:00,10.64,10.58,,,
38,9/28/2019 2:00,10.65,10.52,,,
39,9/28/2019 3:00,10.68,10.46,,,
40,9/28/2019 4:00,10.69,10.38,,,
41,9/28/2019 5:00,10.72,10.3,,,
42,9/28/2019 6:00,10.76,10.18,,,
43,9/28/2019 7:00,10.77,10.1,,,
44,9/28/2019 8:00,10.84,10.04,,,
45,9/28/2019 9:00,10.92,10.02,,,
46,9/28/2019 10:00,11.03,10.08,,,
47,9/28/2019 11:00,11.1,10.34,,,
48,9/28/2019 12:00,11.04,10.74,,,
49,9/28/2019 13:00,10.98,10.92,,,
50,9/28/2019 14:00,10.93,11,,,
51,9/28/2019 15:00,10.92,11.18,,,
52,9/28/2019 16:00,10.8,11.4,,,
53,9/28/2019 17:00,10.71,11.36,,,
54,9/28/2019 18:00,10.69,11.18,,,
55,9/28/2019 19:00,10.67,10.86,,,
